epoch,train_loss,valid_loss,learning_rate,ss_prob,duration_seconds
1,6.075867748506055,5.140913333036138,0.0009938441702975697,1.0,159.62393300000258
2,5.661140483753538,4.943007419293462,0.0009755282581475773,0.9578947368421052,211.56748510000034
3,5.567483027871172,4.86561665481868,0.0009455032620941848,0.9157894736842105,211.5543475000013
4,5.536534477142303,4.8356108517355585,0.0009045084971874741,0.8736842105263157,211.847646299997
5,5.527681645662871,4.807280553701735,0.0008535533905932754,0.831578947368421,211.9594300000026
6,5.529466873249364,4.8083350702943335,0.0007938926261462404,0.7894736842105262,212.04189409999526
7,5.534669262736411,4.788523547095865,0.0007269952498697772,0.7473684210526315,212.38293749999866
8,5.540699149703919,4.784970119290976,0.0006545084971874761,0.7052631578947367,212.56914990000223
9,5.543242191664384,4.778972487075576,0.000578217232520117,0.663157894736842,212.32224119999591
10,5.5495002013295185,4.779984055713901,0.0004999999999999989,0.6210526315789472,211.98912730000302
11,5.549561368768652,4.7711623519918005,0.0004217827674798831,0.5789473684210524,212.2764537999974
12,5.549192352455689,4.783621323757898,0.0003454915028125255,0.5368421052631577,211.5872817000054
13,5.548215584320759,4.777728765233467,0.00027300475013022603,0.4947368421052629,211.7997366999989
14,5.54291602568376,4.77638731841985,0.00020610737385376278,0.45263157894736816,211.68114730000525
15,5.539331315339927,4.77694122123975,0.00014644660940672541,0.4105263157894734,212.16794120000122
16,5.53067845616985,4.785175420312691,9.549150281252539e-05,0.36842105263157865,212.28564460000052
