epoch,train_loss,valid_loss,learning_rate,ss_prob,duration_seconds
1,6.468543257520512,5.630664540562661,0.0009938441702975697,1.0,45.41391260000091
2,6.086555015604745,5.479626797993666,0.0009755282581475773,0.9578947368421052,57.08955009999772
3,5.998388186528571,5.3999591779306195,0.0009455032620941848,0.9157894736842105,57.037762300002214
4,5.9532639461750145,5.357936213652896,0.0009045084971874741,0.8736842105263157,57.03145360000053
5,5.936898976999669,5.323692125136726,0.0008535533905932754,0.831578947368421,57.16904490000161
6,5.932007638126009,5.3254455529057605,0.0007938926261462404,0.7894736842105262,57.17085719999886
7,5.935160870085265,5.318250291558465,0.0007269952498697772,0.7473684210526315,57.18071690000215
8,5.940839619810976,5.331871015347724,0.0006545084971874761,0.7052631578947367,56.84298900000431
9,5.948460546968625,5.323249592989402,0.000578217232520117,0.663157894736842,56.76068330000271
10,5.954590575009226,5.3248726441072085,0.0004999999999999989,0.6210526315789472,57.10414039999887
11,5.963508133682564,5.3382420413921,0.0004217827674798831,0.5789473684210524,57.675389000003634
12,5.9706641388138175,5.340903586533644,0.0003454915028125255,0.5368421052631577,57.25017140000273
