author,train_sample_count,raw_weight,clipped_weight,sample_weight
歐陽詹,74,0.11624764,0.11624764,0.90484615
崔塗,74,0.11624764,0.11624764,0.90484615
殷堯藩,73,0.11704115,0.11704115,0.91102264
獨孤及,72,0.11785113,0.11785113,0.91732737
居遁,72,0.11785113,0.11785113,0.91732737
孫光憲,71,0.11867817,0.11867817,0.92376484
薛濤,71,0.11867817,0.11867817,0.92376484
顧非熊,70,0.11952286,0.11952286,0.93033976
王貞白,69,0.12038585,0.12038585,0.93705710
馮延巳,67,0.12216944,0.12216944,0.95094018
劉言史,66,0.12309149,0.12309149,0.95811719
劉兼,65,0.12403473,0.12403473,0.96545919
于鵠,64,0.12500000,0.12500000,0.97297261
段成式,64,0.12500000,0.12500000,0.97297261
崔致遠,64,0.12500000,0.12500000,0.97297261
郎士元,63,0.12598816,0.12598816,0.98066421
崔道融,63,0.12598816,0.12598816,0.98066421
王涯,62,0.12700013,0.12700013,0.98854116
章孝標,62,0.12700013,0.12700013,0.98854116
令狐楚,61,0.12803688,0.12803688,0.99661102
劉駕,60,0.12909944,0.12909944,1.00488179
嚴維,60,0.12909944,0.12909944,1.00488179
崔顥,57,0.13245324,0.13245324,1.03098696
牟融,57,0.13245324,0.13245324,1.03098696
孫元晏,56,0.13363062,0.13363062,1.04015147
明皇帝,55,0.13483997,0.13483997,1.04956480
陳羽,55,0.13483997,0.13483997,1.04956480
孫逖,54,0.13608276,0.13608276,1.05923841
歐陽炯,52,0.13867505,0.13867505,1.07941619
喻鳧,52,0.13867505,0.13867505,1.07941619
汪遵,52,0.13867505,0.13867505,1.07941619
道世,51,0.14002801,0.14002801,1.08994733
楊衡,50,0.14142136,0.14142136,1.10079285
賈至,49,0.14285714,0.14285714,1.11196870
周朴,49,0.14285714,0.14285714,1.11196870
顧敻,49,0.14285714,0.14285714,1.11196870
王周,49,0.14285714,0.14285714,1.11196870
張果,48,0.14433757,0.14433757,1.12349200
常建,48,0.14433757,0.14433757,1.12349200
李珣,46,0.14744196,0.14744196,1.14765588
裴夷直,46,0.14744196,0.14744196,1.14765588
杜審言,45,0.14907120,0.14907120,1.16033754
魚玄機,45,0.14907120,0.14907120,1.16033754
褚亮,44,0.15075567,0.15075567,1.17344912
陳元光,44,0.15075567,0.15075567,1.17344912
張鷟,44,0.15075567,0.15075567,1.17344912
錢珝,44,0.15075567,0.15075567,1.17344912
高駢,43,0.15249857,0.15249857,1.18701545
拾得,43,0.15249857,0.15249857,1.18701545
後主煜,42,0.15430335,0.15430335,1.20106346
劉希夷,42,0.15430335,0.15430335,1.20106346
權德舆,42,0.15430335,0.15430335,1.20106346
魏徵,41,0.15617376,0.15617376,1.21562234
裴說,41,0.15617376,0.15617376,1.21562234
張繼,40,0.15811388,0.15811388,1.23072382
于武陵,39,0.16012815,0.16012815,1.24640246
崔峒,39,0.16012815,0.16012815,1.24640246
許敬宗,39,0.16012815,0.16012815,1.24640246
李乂,38,0.16222142,0.16222142,1.26269599
崔國輔,38,0.16222142,0.16222142,1.26269599
皇甫曾,38,0.16222142,0.16222142,1.26269599
張謂,38,0.16222142,0.16222142,1.26269599
則天皇后,37,0.16439899,0.16439899,1.27964569
呂從慶,37,0.16439899,0.16439899,1.27964569
良价,37,0.16439899,0.16439899,1.27964569
包佶,36,0.16666667,0.16666667,1.29729681
于濆,36,0.16666667,0.16666667,1.29729681
張泌,36,0.16666667,0.16666667,1.29729681
寶誌,36,0.16666667,0.16666667,1.29729681
張仲素,35,0.16903085,0.16903085,1.31569910
楊凝,35,0.16903085,0.16903085,1.31569910
儲嗣宗,35,0.16903085,0.16903085,1.31569910
翁承贊,35,0.16903085,0.16903085,1.31569910
靈一,35,0.16903085,0.16903085,1.31569910
蕭穎士,35,0.16903085,0.16903085,1.31569910
秦韜玉,34,0.17149859,0.17149859,1.33490741
崔湜,34,0.17149859,0.17149859,1.33490741
聶夷中,33,0.17407766,0.17407766,1.35498233
高蟾,33,0.17407766,0.17407766,1.35498233
陸暢,33,0.17407766,0.17407766,1.35498233
顏真卿,33,0.17407766,0.17407766,1.35498233
剋符道者,33,0.17407766,0.17407766,1.35498233
義存,33,0.17407766,0.17407766,1.35498233
徐彥伯,32,0.17677670,0.17677670,1.37599106
秦系,32,0.17677670,0.17677670,1.37599106
孫魴,32,0.17677670,0.17677670,1.37599106
崔櫓,32,0.17677670,0.17677670,1.37599106
司馬扎,32,0.17677670,0.17677670,1.37599106
德誠,32,0.17677670,0.17677670,1.37599106
白雲仙人,32,0.17677670,0.17677670,1.37599106
沈彬,31,0.17960530,0.17960530,1.39800831
虞世南,31,0.17960530,0.17960530,1.39800831
劉叉,31,0.17960530,0.17960530,1.39800831
楊炯,31,0.17960530,0.17960530,1.39800831
盧肇,31,0.17960530,0.17960530,1.39800831
李昌符,31,0.17960530,0.17960530,1.39800831
元陽子,31,0.17960530,0.17960530,1.39800831
牛嶠,30,0.18257419,0.18257419,1.42111745
上官儀,30,0.18257419,0.18257419,1.42111745
譚用之,30,0.18257419,0.18257419,1.42111745
王希明,30,0.18257419,0.18257419,1.42111745
劉方平,29,0.18569534,0.18569534,1.44541182
殷文圭,29,0.18569534,0.18569534,1.44541182
唐求,29,0.18569534,0.18569534,1.44541182
祖詠,29,0.18569534,0.18569534,1.44541182
缺名,29,0.18569534,0.18569534,1.44541182
李華,29,0.18569534,0.18569534,1.44541182
僧貫休,28,0.18898224,0.18898224,1.47099632
李百藥,28,0.18898224,0.18898224,1.47099632
竇鞏,28,0.18898224,0.18898224,1.47099632
姚鵠,28,0.18898224,0.18898224,1.47099632
林寬,28,0.18898224,0.18898224,1.47099632
清晝,28,0.18898224,0.18898224,1.47099632
尚顏,28,0.18898224,0.18898224,1.47099632
裴度,27,0.19245009,0.19245009,1.49798933
雍裕之,27,0.19245009,0.19245009,1.49798933
李遠,27,0.19245009,0.19245009,1.49798933
邵謁,27,0.19245009,0.19245009,1.49798933
智閑,27,0.19245009,0.19245009,1.49798933
皇甫松,26,0.19611614,0.19611614,1.52652502
來鵠,26,0.19611614,0.19611614,1.52652502
王翰,25,0.20000000,0.20000000,1.55675617
熊孺登,25,0.20000000,0.20000000,1.55675617
沈亞之,25,0.20000000,0.20000000,1.55675617
孟貫,25,0.20000000,0.20000000,1.55675617
修睦,25,0.20000000,0.20000000,1.55675617
盧象,25,0.20000000,0.20000000,1.55675617
上官昭容,24,0.20412415,0.20412415,1.58885762
鄭愔,24,0.20412415,0.20412415,1.58885762
張南史,24,0.20412415,0.20412415,1.58885762
朱灣,24,0.20412415,0.20412415,1.58885762
毛文錫,24,0.20412415,0.20412415,1.58885762
毛熙震,24,0.20412415,0.20412415,1.58885762
朱放,23,0.20851441,0.20851441,1.62303051
張又新,23,0.20851441,0.20851441,1.62303051
成彥雄,23,0.20851441,0.20851441,1.62303051
李翔,23,0.20851441,0.20851441,1.62303051
文偃,23,0.20851441,0.20851441,1.62303051
綦毋潛,23,0.20851441,0.20851441,1.62303051
劉威,22,0.21320072,0.21320072,1.65950766
